YEAR_MO_DY,set_uji
2018-09-23,6.11
2018-09-24,6.85
2018-09-25,6.72
2018-09-26,7.19
2018-09-27,6.97
2018-09-28,6.64
2018-09-29,6.67
2018-09-30,6.85
2018-10-01,6.76
2018-10-02,6.74
2018-10-03,7.029999999999999
2018-10-04,6.74
2018-10-05,6.88
2018-10-06,6.4
2018-10-07,6.88
2018-10-08,6.89
2018-10-09,7.14
2018-10-10,7.08
2018-10-11,7.12
2018-10-12,7.09
2018-10-13,6.29
2018-10-14,6.6
2018-10-15,6.77
2018-10-16,6.78
2018-10-17,6.61
2018-10-18,6.8
2018-10-19,6.64
2018-10-20,6.19
2018-10-21,6.78
2018-10-22,6.31
2018-10-23,6.85
2018-10-24,7.110000000000001
2018-10-25,6.42
2018-10-26,6.98
2018-10-27,6.57
2018-10-28,6.58
2018-10-29,6.56
2018-10-30,7.269999999999999
2018-10-31,6.96
2018-11-01,6.61
2018-11-02,6.19
2018-11-03,7.16
2018-11-04,6.32
2018-11-05,6.46
2018-11-06,5.63
2018-11-07,5.07
2018-11-08,5.34
2018-11-09,4.56
2018-11-10,5.57
2018-11-11,6.59
2018-11-12,5.77
2018-11-13,5.66
2018-11-14,6.73
2018-11-16,7.05
2018-11-17,7.16
2018-11-18,7.0
2018-11-19,7.49
2018-11-20,7.49
2018-11-21,7.150000000000001
2018-11-22,6.85
2018-11-23,6.48
2018-11-24,4.49
2018-11-25,5.49
2018-11-26,3.6
2018-11-27,5.94
2018-11-28,5.48
2018-11-29,2.1
2018-11-30,4.23
2018-12-01,5.18
2018-12-02,5.76
2018-12-03,4.17
2018-12-04,5.41
2018-12-05,5.61
2018-12-06,6.33
2018-12-07,5.83
2018-12-08,6.41
2018-12-09,5.03
2018-12-10,6.24
2018-12-11,6.21
2018-12-12,5.7
2018-12-13,4.32
2018-12-14,6.08
2018-12-15,4.88
2018-12-16,5.05
2018-12-17,5.92
2018-12-18,5.89
2018-12-19,4.94
2018-12-20,4.92
2018-12-21,5.95
2018-12-22,5.69
2018-12-23,3.89
2018-12-24,1.9600000000000002
2018-12-25,5.28
2018-12-26,5.85
2018-12-27,6.4
2018-12-28,3.3
2018-12-29,4.59
2018-12-30,4.09
2018-12-31,5.65
2019-01-01,4.78
2019-01-02,4.48
2019-01-03,2.46
2019-01-04,5.23
2019-01-05,6.45
2019-01-06,3.64
2019-01-07,7.26
2019-01-08,6.87
2019-01-09,6.96
2019-01-10,6.62
2019-01-11,6.42
2019-01-12,5.78
2019-01-13,6.5
2019-01-14,5.84
2019-01-15,4.84
2019-01-16,3.95
2019-01-17,4.23
2019-01-18,5.22
2019-01-19,5.1
2019-01-20,6.22
2019-01-21,5.75
2019-01-22,4.93
2019-01-23,3.99
2019-01-24,4.05
2019-01-25,5.21
2019-01-26,6.4
2019-01-27,5.56
2019-01-28,3.7499999999999996
2019-01-29,5.8
2019-01-30,6.67
2019-01-31,2.28
2019-02-01,4.39
2019-02-02,5.63
2019-02-03,5.25
2019-02-04,5.15
2019-02-05,5.57
2019-02-06,5.76
2019-02-07,5.46
2019-02-08,3.48
2019-02-09,5.94
2019-02-10,6.13
2019-02-11,6.24
2019-02-12,5.59
2019-02-13,5.17
2019-02-14,6.24
2019-02-15,6.65
2019-02-16,6.67
2019-02-17,6.67
2019-02-18,4.96
2019-02-19,3.57
2019-02-20,5.23
2019-02-21,5.59
2019-02-22,6.26
2019-02-23,6.63
2019-02-24,7.05
2019-02-25,6.7
2019-02-26,7.08
2019-02-27,5.61
2019-02-28,5.99
2019-03-01,5.84
2019-03-02,5.64
2019-03-03,6.01
2019-03-04,5.61
2019-03-05,5.85
2019-03-06,2.47
2019-03-07,1.55
2019-03-08,4.1
2019-03-09,5.86
2019-03-10,6.88
2019-03-11,6.85
2019-03-12,6.29
2019-03-13,3.5
2019-03-14,5.88
2019-03-15,2.92
2019-03-16,5.33
2019-03-17,6.16
2019-03-18,4.76
2019-03-19,5.64
2019-03-20,5.67
2019-03-21,4.82
2019-03-22,5.6
2019-03-23,3.45
2019-03-24,5.27
2019-03-25,4.93
2019-03-26,5.77
2019-03-27,5.38
2019-03-28,6.73
2019-03-29,5.39
2019-03-30,6.44
2019-03-31,6.15
2019-04-01,6.16
2019-04-02,5.88
2019-04-03,5.43
2019-04-04,4.99
2019-04-05,2.02
2019-04-06,4.86
2019-04-07,6.42
2019-04-08,5.69
2019-04-09,4.51
2019-04-10,4.95
2019-04-11,5.22
2019-04-12,3.6999999999999997
2019-04-13,5.7
2019-04-14,4.28
2019-04-15,5.35
2019-04-16,5.45
2019-04-17,5.83
2019-04-18,6.1
2019-04-19,6.19
2019-04-20,5.67
2019-04-21,6.13
2019-04-22,5.91
2019-04-23,5.92
2019-04-24,5.45
2019-04-25,5.54
2019-04-26,5.82
2019-04-27,5.72
2019-04-28,5.24
2019-04-29,4.7
2019-04-30,4.94
2019-05-01,5.24
2019-05-02,5.41
2019-05-03,5.76
2019-05-04,6.04
2019-05-05,5.59
2019-05-06,5.65
2019-05-07,5.55
2019-05-08,5.48
2019-05-09,5.34
2019-05-10,4.71
2019-05-11,5.5
2019-05-12,5.3
2019-05-13,5.66
2019-05-14,5.56
2019-05-15,5.53
2019-05-16,5.16
2019-05-17,5.62
2019-05-18,5.7
2019-05-19,5.75
2019-05-20,5.4
2019-05-21,5.67
2019-05-22,5.31
2019-05-23,5.3
2019-05-24,5.63
2019-05-25,5.42
2019-05-26,4.68
2019-05-27,4.43
2019-05-28,4.91
2019-05-29,4.98
2019-05-30,5.34
2019-05-31,4.68
2019-06-01,4.32
2019-06-02,4.35
2019-06-03,3.7400000000000007
2019-06-04,4.31
2019-06-05,5.04
2019-06-06,5.22
2019-06-07,5.21
2019-06-08,4.85
2019-06-09,4.52
2019-06-10,5.33
2019-06-11,4.93
2019-06-12,5.03
2019-06-13,2.96
2019-06-14,2.71
2019-06-15,5.22
2019-06-16,5.19
2019-06-17,5.17
2019-06-18,5.42
2019-06-19,5.35
2019-06-20,5.22
2019-06-21,5.12
2019-06-22,4.52
2019-06-23,5.13
2019-06-24,5.37
2019-06-25,5.11
2019-06-26,4.99
2019-06-27,5.18
2019-06-28,5.4
2019-06-29,5.32
2019-06-30,5.21
2019-07-01,4.8
2019-07-02,4.82
2019-07-03,3.67
2019-07-04,4.0
2019-07-05,4.82
2019-07-06,5.14
2019-07-07,5.51
2019-07-08,5.51
2019-07-09,5.09
2019-07-10,4.55
2019-07-11,5.07
2019-07-12,5.19
2019-07-13,5.17
2019-07-14,5.25
2019-07-15,4.78
2019-07-16,5.5
2019-07-17,5.32
2019-07-18,4.64
2019-07-19,2.04
2019-07-20,4.61
2019-07-21,5.26
2019-07-23,5.5
2019-07-24,4.92
2019-07-25,5.32
2019-07-26,5.51
2019-07-27,5.57
2019-07-28,5.6
2019-07-29,5.21
2019-07-30,5.65
2019-07-31,5.55
2019-08-01,5.44
2019-08-02,5.46
2019-08-03,5.61
2019-08-04,5.19
2019-08-05,5.8
2019-08-06,5.89
2019-08-07,5.03
2019-08-08,5.48
2019-08-09,4.78
2019-08-10,5.74
2019-08-11,5.26
2019-08-12,5.5
2019-08-13,4.59
2019-08-14,5.38
2019-08-15,5.96
2019-08-16,5.26
2019-08-17,5.94
2019-08-18,5.88
2019-08-19,5.52
2019-08-20,5.88
2019-08-21,5.87
2019-08-22,5.72
2019-08-23,5.0
2019-08-24,4.84
2019-08-25,4.77
2019-08-26,4.6
2019-08-27,5.97
2019-08-28,6.14
2019-08-29,6.38
2019-08-30,6.05
2019-08-31,6.11
2019-09-01,5.92
2019-09-02,6.68
2019-09-03,6.3
2019-09-04,6.63
2019-09-05,5.99
2019-09-06,6.08
2019-09-07,5.86
2019-09-08,5.73
2019-09-09,6.35
2019-09-10,6.66
2019-09-11,6.89
2019-09-12,6.27
2019-09-13,5.76
2019-09-14,6.05
2019-09-15,5.74
2019-09-16,6.39
2019-09-17,6.67
2019-09-18,6.31
2019-09-19,6.18
2019-09-20,6.74
2019-09-21,6.09
2019-09-22,6.39
2019-09-23,6.27
2019-09-24,6.57
2019-09-25,6.53
2019-09-26,6.32
2019-09-27,6.09
2019-09-28,6.19
2019-09-29,6.73
2019-09-30,6.54
2019-10-01,6.7
2019-10-02,6.77
2019-10-03,6.95
2019-10-04,7.209999999999999
2019-10-05,7.250000000000001
2019-10-06,7.05
2019-10-07,6.49
2019-10-08,6.85
2019-10-09,6.52
2019-10-10,6.94
2019-10-11,7.22
2019-10-12,7.05
2019-10-13,7.05
2019-10-14,6.92
2019-10-15,6.45
2019-10-16,6.39
2019-10-17,6.73
2019-10-18,6.86
2019-10-19,6.98
2019-10-20,7.04
2019-10-21,7.19
2019-10-22,7.3999999999999995
2019-10-23,7.269999999999999
2019-10-24,7.250000000000001
2019-10-25,6.37
2019-10-26,6.86
2019-10-27,7.16
2019-10-28,7.05
2019-10-29,7.2
2019-10-30,6.84
2019-10-31,6.72
2019-11-01,5.95
2019-11-02,4.69
2019-11-03,5.85
2019-11-04,6.93
2019-11-05,7.67
2019-11-06,7.53
2019-11-07,7.539999999999999
2019-11-08,7.09
2019-11-09,7.359999999999999
2019-11-10,6.83
2019-11-11,7.22
2019-11-12,6.8
2019-11-13,6.58
2019-11-14,7.349999999999999
2019-11-15,7.53
2019-11-16,6.85
2019-11-17,7.12
2019-11-18,7.1000000000000005
2019-11-19,6.75
2019-11-20,6.78
2019-11-21,7.41
2019-11-22,7.18
2019-11-23,7.41
2019-11-24,6.79
2019-11-25,7.1000000000000005
2019-11-26,7.24
2019-11-27,6.36
2019-11-28,6.91
2019-11-29,6.58
2019-11-30,6.59
2019-12-01,6.49
2019-12-02,6.71
2019-12-03,6.6
2019-12-04,5.91
2019-12-05,6.3
2019-12-06,6.61
2019-12-07,6.38
2019-12-08,7.16
2019-12-09,6.71
2019-12-10,6.9
2019-12-11,5.98
2019-12-12,6.25
2019-12-13,4.33
2019-12-14,6.12
2019-12-15,4.74
2019-12-16,5.4
2019-12-17,4.83
2019-12-18,6.24
2019-12-19,5.99
2019-12-20,6.27
2019-12-21,6.79
2019-12-22,6.06
2019-12-23,6.44
2019-12-24,6.2
2019-12-25,6.6
2019-12-26,5.73
2019-12-27,4.06
2019-12-28,5.61
2019-12-29,3.95
2019-12-30,6.06
2019-12-31,4.63
